'NLA.IV03.inverseM_diagonal_product' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.IV03.inverseM_diagonal_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.IV03.inverseM_positive_weight' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.IV03.zMatrix_maximum_principle' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.IV03.zMatrix_isUnit' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.IV03.zMatrix_inverse_nonnegative' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.IV03.zMatrix_det_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.IV03.zMatrix_principal_weight' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.IV03.zMatrix_principal_properties' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.IV03.inverseM_det_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.IV03.inverseM_inverse_principal' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.IV03.threeByThree_negative_minors_det_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.IV03.zMatrix_schur_offdiagonal' depends on axioms: [propext, Classical.choice, Quot.sound]
