'NLA.SP06.LaurentCoefficients' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.laurentEval' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.hasAdmissibleBand' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.toeplitz' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.hasRealJordanCurve' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.allFiniteSpectraReal' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.targetImplication' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.witness' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.auxiliary' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.radialEquation' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.radiusProfile' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.radialCurve' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.nonrealEigenvalue' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.SP06.counterexampleClaim' depends on axioms: [propext, Classical.choice, Quot.sound]
