'NLA.MI23.witness_GH_entry' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.witness_frobenius_AB' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.witness_exact_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.scalar_gap_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.squaredGap_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.witness_strict_norm_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.spectralPower_posDef' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.sandwich_posDef' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.positive_powers_and_means_proved' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.ordered_eigenvalues_posDef' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.orderedEigenvalues_congr' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.positive_eigenvalues_of_charpoly_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.spectralPower_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.spectralPower_nat' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.spectralPower_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.naturalPower_posDef' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.product_eigenvalue_semantics_proved' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.entry_le_operatorNorm' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.operatorNorm_posSemidef_le_trace' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.trace_gram_eq_frobeniusSquared' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.operatorNorm_sq_le_frobeniusSquared' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.operator_norm_bounds_proved' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.witness_data_proved' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.witness_squared_gap_proved' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.witness_largest_strict_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.prefix_one_eq_largest' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.witness_not_logMajorized' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.counterexample_proved' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.not_generalizedGeometricMeanConjecture_proved' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.orderedEigenvalues_multiset' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.largestEigenvalue_spec' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.operatorNorm_eq_eigenvalueNorm' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.largestEigenvalue_posDef_eq_norm' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.squared_product_largest_proved' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.witnessD_posDef' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.witnessPivots_posDef' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.witnessL_det' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.witnessL_isUnit' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.witnessT_ldl' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.witnessT_posDef' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.witnessA_posDef' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.witnessB_posDef' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.witnessG_posDef' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.witnessH_posDef' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.spectralPower_naturalPower' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.witnessA_half' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.witnessD_mul_inv' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.witnessD_inv_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.witnessA_negative_half' depends on axioms: [propext, Classical.choice, Quot.sound]
