info: NLA/MI07/Proof.lean:325:0: 'NLA.MI07.modulus_eq_sqrt_proved' depends on axioms: [propext, Classical.choice, Quot.sound]
info: NLA/MI07/Proof.lean:326:0: 'NLA.MI07.maximalModulus_eq_of_tendsto_proved' depends on axioms: [propext, Classical.choice, Quot.sound]
info: NLA/MI07/Proof.lean:327:0: 'NLA.MI07.root_limit_iff_spectralNorm_proved' depends on axioms: [propext, Classical.choice, Quot.sound]
info: NLA/MI07/Proof.lean:328:0: 'NLA.MI07.witness_moduli_proved' depends on axioms: [propext, Classical.choice, Quot.sound]
info: NLA/MI07/Proof.lean:329:0: 'NLA.MI07.rpow_projection' depends on axioms: [propext, Classical.choice, Quot.sound]
info: NLA/MI07/Proof.lean:330:0: 'NLA.MI07.rpow_real_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
info: NLA/MI07/Proof.lean:331:0: 'NLA.MI07.posDef_rpow_tendsto_one' depends on axioms: [propext, Classical.choice, Quot.sound]
info: NLA/MI07/Proof.lean:332:0: 'NLA.MI07.rootSequence_witnessA' depends on axioms: [propext, Classical.choice, Quot.sound]
info: NLA/MI07/Proof.lean:333:0: 'NLA.MI07.rootSequence_witnessB' depends on axioms: [propext, Classical.choice, Quot.sound]
info: NLA/MI07/Proof.lean:334:0: 'NLA.MI07.rootSequence_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
info: NLA/MI07/Proof.lean:335:0: 'NLA.MI07.witness_root_limits_proved' depends on axioms: [propext, Classical.choice, Quot.sound]
info: NLA/MI07/Proof.lean:336:0: 'NLA.MI07.trace_unitaryConjugate' depends on axioms: [propext, Classical.choice, Quot.sound]
info: NLA/MI07/Proof.lean:337:0: 'NLA.MI07.scalar_gap_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
info: NLA/MI07/Proof.lean:338:0: 'NLA.MI07.no_unitary_domination' depends on axioms: [propext, Classical.choice, Quot.sound]
info: NLA/MI07/Proof.lean:339:0: 'NLA.MI07.counterexample_proved' depends on axioms: [propext, Classical.choice, Quot.sound]
info: NLA/MI07/Proof.lean:340:0: 'NLA.MI07.not_triangleConjecture_proved' depends on axioms: [propext, Classical.choice, Quot.sound]
info: Solution.lean:91:0: 'NLA.MI07.modulus_eq_sqrt' depends on axioms: [propext, Classical.choice, Quot.sound]
info: Solution.lean:92:0: 'NLA.MI07.maximalModulus_eq_of_tendsto' depends on axioms: [propext, Classical.choice, Quot.sound]
info: Solution.lean:93:0: 'NLA.MI07.root_limit_iff_spectralNorm' depends on axioms: [propext, Classical.choice, Quot.sound]
info: Solution.lean:94:0: 'NLA.MI07.witness_moduli' depends on axioms: [propext, Classical.choice, Quot.sound]
info: Solution.lean:95:0: 'NLA.MI07.witness_root_limits' depends on axioms: [propext, Classical.choice, Quot.sound]
info: Solution.lean:96:0: 'NLA.MI07.counterexample' depends on axioms: [propext, Classical.choice, Quot.sound]
info: Solution.lean:97:0: 'NLA.MI07.not_triangleConjecture' depends on axioms: [propext, Classical.choice, Quot.sound]
